event,severity,headline,description
Special Weather Statement,Moderate,Special Weather Statement issued March 22 at 6:17PM EDT by NWS Upton NY,"At 616 PM EDT, Doppler radar was tracking gusty showers over
Hartwood, or 9 miles north of Port Jervis, moving east at 35 mph.

HAZARD...Wind gusts up to 50 mph.

SOURCE...Radar indicated.

IMPACT...Gusty winds could knock down tree limbs and blow around
unsecured objects.

Locations impacted include...
Howells, Cuddebackville, Otisville, Huguenot, and Deerpark."
Special Weather Statement,Moderate,Special Weather Statement issued March 21 at 9:43AM EDT by NWS Upton NY,"Increasing northwest winds and drying low levels will create
conditions more conducive for fire spread today into early this
evening.

Relative humidity is expected to decrease to near 25 to 30 percent
this afternoon into early this evening, while wind gusts increase
to 35 to 45 mph. An isolated gust to 50 mph will be possible.
These conditions would likely aid fire spread if ignition occurs.

Outdoor burning is strongly discouraged, and residents are urged
to exercise caution if handling any potential ignition sources,
such as machinery, cigarettes, or matches. The annual statewide
burn ban is in effect until May 14. No burn permits are issued.

For more information about wildfire danger and wildfire prevention,
please visit the New York Department of Environmental
Conservation website at http://dec.ny.gov/environmental-
protection/wildfires.

This forecast considers meteorological, fuel, and land conditions
and has been developed in coordination with state fire and land
management officials.

Listen to NOAA All Hazards Weather Radio or visit our web Site at
http://weather.gov/nyc for further details or updates."
Special Weather Statement,Moderate,Special Weather Statement issued March 21 at 9:39AM EDT by NWS Binghamton NY,"Despite recent rainfall, relative humidity will drop as low as 25
to 35 percent this afternoon along with northwest winds gusting
20 to 30 mph. These dry and windy conditions will pose an elevated
risk for wildfire spread this afternoon in parts of Central New
York. Any fires that develop in dry grass or brush will likely
spread rapidly. Outdoor burning is strongly discouraged, and a
burn ban is in place.

Residents are urged to exercise caution if handling any potential
ignition sources, such as machinery, cigarettes, or matches. If
dry grasses and tree litter ignite, the fire will likely spread
very rapidly.

The annual statewide burn ban is in effect until May 14. No burn
permits are issued."
Special Weather Statement,Moderate,Special Weather Statement issued March 21 at 9:29AM EDT by NWS Albany NY,"Despite last night's rainfall, the combination of relative
humidity dropping to 25 to 35 percent, frequent wind gusts of 25
to 30 miles per hour, and drying fine fuels will contribute to an
elevated risk of fire spread this afternoon. The risk will be
highest over southern Herkimer, Montgomery, and Schoharie Counties
in the Leatherstocking Fire Danger Rating Area, and in Warren,
Saratoga, and Washington Counties in the Upper Hudson
Valley/Champlain Fire Danger Rating Area.

Any fires that develop in dry grass or brush will likely spread
rapidly. Outdoor burning is strongly discouraged, and residents
are urged to exercise caution if handling any potential ignition
sources, such as machinery, cigarettes, or matches. The annual
statewide burn ban is in effect until May 14. No burn permits are
issued.

For more information about wildfire danger and wildfire prevention,
please visit the New York Department of Environmental
Conservation website at http://dec.ny.gov/environmental-
protection/wildfires."
Dense Fog Advisory,Moderate,Dense Fog Advisory issued March 21 at 12:54AM EDT until March 21 at 1:00AM EDT by NWS Upton NY,"Visibilities across the area have improved to greater than one mile,
therefore the Dense Fog Advisory will be allowed to expire at 1am."
Dense Fog Advisory,Moderate,Dense Fog Advisory issued March 20 at 7:07PM EDT until March 21 at 1:00AM EDT by NWS Upton NY,"* WHAT...Visibility one quarter to one half mile in dense fog.

* WHERE...Northeast Suffolk, Northern Nassau, Northwest Suffolk,
Southeast Suffolk, Southern Nassau, and Southwest Suffolk Counties.

* WHEN...Until 1 AM EDT Friday.

* IMPACTS...Low visibility could make driving conditions hazardous."
Dense Fog Advisory,Moderate,Dense Fog Advisory issued March 20 at 6:36PM EDT until March 21 at 1:00AM EDT by NWS Upton NY,"* WHAT...Visibility one quarter to one half mile in dense fog.

* WHERE...Northeast Suffolk, Northern Nassau, Northwest Suffolk,
Southeast Suffolk, Southern Nassau, and Southwest Suffolk Counties.

* WHEN...Until 1 AM EDT Friday.

* IMPACTS...Low visibility could make driving conditions hazardous."
Special Weather Statement,Moderate,Special Weather Statement issued March 20 at 5:29PM EDT by NWS Upton NY,"Areas of fog during this evening's commute may become locally
dense, reducing visibilities to 1/4 mile or less at times.

Motorists should use low beam headlights and remain alert for
rapidly changing visibilities. Allow extra time to reach your
destination."
Wind Advisory,Moderate,Wind Advisory issued March 20 at 2:01PM EDT until March 20 at 2:00PM EDT by NWS Buffalo NY,"The threat of strong winds has ended, therefore the Wind Advisory
has been allowed to expire."
Wind Advisory,Minor,The Wind Advisory has been cancelled.,The Wind Advisory has been cancelled and is no longer in effect.
Special Weather Statement,Moderate,Special Weather Statement issued March 20 at 7:22AM EDT by NWS Upton NY,"Areas of fog this morning may become locally dense, reducing
visibilities to 1/4 mile or less at times.

Motorists should use low beam headlights and remain alert for
rapidly changing visibilities. Allow extra time to reach your
destination."
Flood Warning,Minor,The Flood Warning has been cancelled.,The Flood Warning has been cancelled and is no longer in effect.
Wind Advisory,Moderate,Wind Advisory issued March 20 at 3:02AM EDT until March 20 at 2:00PM EDT by NWS Burlington VT,"* WHAT...South winds 15 to 25 mph with gusts up to 50 mph.

* WHERE...In New York, Franklin, Southeastern St. Lawrence, and
western Clinton Counties. In Vermont, Grand Isle and western
Franklin Counties.

* WHEN...Until 2 PM EDT this afternoon.

* IMPACTS...Gusty winds will blow around unsecured objects. Tree
limbs could be blown down and a few power outages may result.

* ADDITIONAL DETAILS...The strongest wind gusts will be localized
along the northern slopes of the Adirondacks and near Lake
Champlain."
Wind Advisory,Moderate,Wind Advisory issued March 20 at 3:02AM EDT until March 20 at 2:00PM EDT by NWS Burlington VT,"* WHAT...South winds 15 to 25 mph with gusts up to 50 mph.

* WHERE...Eastern Clinton County.

* WHEN...Until 2 PM EDT this afternoon.

* IMPACTS...Gusty winds will blow around unsecured objects. Tree
limbs could be blown down and a few power outages may result.

* ADDITIONAL DETAILS...The strongest wind gusts will be localized
along the northern slopes of the Adirondacks and near Lake
Champlain."
Wind Advisory,Moderate,Wind Advisory issued March 19 at 9:52PM EDT until March 20 at 2:00PM EDT by NWS Buffalo NY,"* WHAT...South winds 20 to 30 mph with gusts up to 50 mph expected.

* WHERE...Jefferson and Lewis Counties.

* WHEN...Until 2 PM EDT Thursday.

* IMPACTS...Gusty winds will blow around unsecured objects. Tree
limbs could be blown down and a few power outages may result.

* ADDITIONAL DETAILS...Strongest wind gusts will be localized over
the northern slopes of the Tug Hill Plateau and western
Adirondacks."
Red Flag Warning,Minor,The Red Flag Warning has been cancelled.,The Red Flag Warning has been cancelled and is no longer in effect.
Red Flag Warning,Minor,The Red Flag Warning has been cancelled.,The Red Flag Warning has been cancelled and is no longer in effect.
Flood Warning,Severe,Flood Warning issued March 19 at 4:15PM EDT until March 20 at 8:00AM EDT by NWS Buffalo NY,"...The Flood Warning is extended for the following rivers in New
York...

Black River At Watertown affecting Lewis and Jefferson Counties.

For the Black River...including Boonville, Watertown...Minor
flooding is forecast.

* WHAT...Minor flooding is occurring and minor flooding is forecast.

* WHERE...Black River at Watertown.

* WHEN...Until tomorrow morning.

* IMPACTS...At 10.0 feet, Flood stage, farmland flooding begins in
the Flats with some roads flooded. Minor damages to riverfront
commercial properties in Dexter.

* ADDITIONAL DETAILS...
- At 3:30 PM EDT Wednesday the stage was 10.23 feet.
- Bankfull stage is 8.0 feet.
- Recent Activity...The maximum river stage in the 24 hours
ending at 3:30 PM EDT Wednesday was 10.44 feet.
- Forecast...The river is expected to fall below flood stage
just after midnight tonight and continue falling to 8.6 feet
Saturday morning.
- Flood stage is 10.0 feet.
- Flood History...This crest compares to a previous crest of
10.1 feet on 03/29/2021.
- http://www.weather.gov/safety/flood"
Wind Advisory,Moderate,Wind Advisory issued March 19 at 3:04PM EDT until March 20 at 2:00PM EDT by NWS Burlington VT,"* WHAT...South winds 20 to 30 mph with gusts up to 50 mph expected.

* WHERE...In New York, Franklin, southeastern St. Lawrence, and
western Clinton Counties. In Vermont, Grand Isle and western
Franklin Counties.

* WHEN...From 10 PM this evening to 2 PM EDT Thursday.

* IMPACTS...Gusty winds will blow around unsecured objects. Tree
limbs could be blown down and a few power outages may result.

* ADDITIONAL DETAILS...The strongest wind gusts will be localized
along the northern slopes of the Adirondacks and in the northern
Champlain Valley."
Red Flag Warning,Severe,Red Flag Warning issued March 19 at 2:50PM EDT until March 19 at 8:00PM EDT by NWS Buffalo NY,"The National Weather Service in Buffalo has issued a Red Flag
Warning for wind and low relative humidity, which is in effect
until 8 PM EDT this evening.

* AFFECTED AREA...The Southern Tier, especially areas east of
Allegany county.

* TIMING...Until 8 PM EDT this evening.

* WINDS...South 15 to 25 mph with gusts up to 35 mph.

* RELATIVE HUMIDITY...As low as 17 percent.

* IMPACTS...Any fire that develops will catch and spread
quickly. Outdoor burning is not recommended."
Wind Advisory,Moderate,Wind Advisory issued March 19 at 2:15PM EDT until March 20 at 2:00PM EDT by NWS Buffalo NY,"* WHAT...South winds 20 to 30 mph with gusts up to 50 mph expected.

* WHERE...Jefferson and Lewis Counties.

* WHEN...From 10 PM this evening to 2 PM EDT Thursday.

* IMPACTS...Gusty winds will blow around unsecured objects. Tree
limbs could be blown down and a few power outages may result.

* ADDITIONAL DETAILS...Strongest wind gusts will be localized over
the northern slopes of the Tug Hill Plateau and western
Adirondacks."
Special Weather Statement,Moderate,Special Weather Statement issued March 19 at 1:07PM EDT by NWS Binghamton NY,"Relative humidity will drop as low as 15 to 25 percent this
afternoon, along with south-southeast winds gusting to 25 to 35
mph, with localized gusts around 40 mph. These very dry and windy
conditions will pose an elevated risk for wildfire spread this
afternoon in parts of Central New York. Any fires that develop in
dry grass or brush will likely spread rapidly. Outdoor burning is
strongly discouraged, and a burn ban is in place.

Residents are urged to exercise caution if handling any potential
ignition sources, such as machinery, cigarettes, or matches. If
dry grasses and tree litter ignite, the fire will likely spread
very rapidly.

The annual statewide burn ban is in effect until May 14. No burn
permits are issued."
Red Flag Warning,Severe,Red Flag Warning issued March 19 at 10:25AM EDT until March 19 at 8:00PM EDT by NWS Binghamton NY,"The National Weather Service in Binghamton has issued a Red Flag
Warning for low humidity and gusty winds, which is in effect
until 8 PM EDT this evening.

* Affected Area...Fire weather zone 210, the Leatherstocking zone.

* Timing...From noon until 8 PM today.

* Winds...South 14 to 22 mph with gusts of 25 to 35 mph expected.

* Relative Humidity...As low as 22 to 28 percent.

* Temperatures...68 to 74 degrees.

* Lightning...None

* Impacts...Any fires that develop in fine fuels will likely
spread rapidly. There is a burn ban in place. Outdoor burning is
strongly discouraged.

* ADDITIONAL DETAILS...The eastern portion of the Leatherstocking
Region will be a bit less conducive for fire spread compared to
the western areas."
Special Weather Statement,Moderate,Special Weather Statement issued March 19 at 4:33AM EDT by NWS Buffalo NY,"A combination of dry and windy conditions will create an elevated
risk of wildfire spread across western NY today. Minimum relative
humidity values will drop as low as 25 percent and south winds
will increase to 10 to 20 mph with wind gusts up to 30 mph.

Residents are urged to exercise caution if handling any potential
sources of ignition, such as machinery, cigarettes, or matches.
Fire will have the potential to spread rapidly if dry grasses and
tree litter ignite.

The annual statewide burn ban is in effect through May 14."
Flood Warning,Severe,Flood Warning issued March 19 at 4:18AM EDT until March 20 at 2:00AM EDT by NWS Buffalo NY,"...The Flood Warning continues for the following rivers in New
York...

Black River At Watertown affecting Jefferson and Lewis Counties.

For the Black River...including Watertown...Minor flooding is
forecast.

* WHAT...Minor flooding is occurring and minor flooding is forecast.

* WHERE...Black River from the flats area in Lewis County downstream
to Watertown.

* WHEN...Until just after midnight tonight.

* IMPACTS...At 10.0 feet, Flood stage, farmland flooding begins in
the Flats with some roads flooded. Minor damages to riverfront
commercial properties in Dexter.

* ADDITIONAL DETAILS...
- At 3:30 AM EDT Wednesday the stage was 10.4 feet.
- Bankfull stage is 8.0 feet.
- Recent Activity...The maximum river stage in the 24 hours
ending at 3:30 AM EDT Wednesday was 10.43 feet.
- Forecast...The river is near crest early this morning, and is
expected to fall below flood stage this evening and continue
falling to 8.7 feet by Friday evening.
- Flood stage is 10.0 feet.
- Flood History...This crest compares to a previous crest of
10.1 feet on 03/29/2021.
- http://www.weather.gov/safety/flood"
Special Weather Statement,Moderate,Special Weather Statement issued March 19 at 3:57AM EDT by NWS Binghamton NY,"Relative humidity will drop as low as 25 to 30 percent this
afternoon, along with south-southeast winds gusting to 20 to 30
mph, highest towards the Finger Lakes Region and the central
Southern Tier. These dry and breezy conditions will pose an
elevated risk for wildfire spread this afternoon in parts of
Central New York.

Residents are urged to exercise caution if handling any potential
ignition sources, such as machinery, cigarettes, or matches. If
dry grasses and tree litter ignite, the fire will have the
potential to spread rapidly.

The annual statewide burn ban is in effect until May 14. No burn
permits are issued."
Fire Weather Watch,Minor,The Fire Weather Watch has been cancelled.,The Fire Weather Watch has been cancelled and is no longer in effect.
Wind Advisory,Moderate,Wind Advisory issued March 19 at 3:02AM EDT until March 20 at 2:00PM EDT by NWS Buffalo NY,"* WHAT...South winds 20 to 30 mph with gusts up to 50 mph expected.

* WHERE...Jefferson and Lewis Counties.

* WHEN...From 10 PM this evening to 2 PM EDT Thursday.

* IMPACTS...Gusty winds will blow around unsecured objects. Tree
limbs could be blown down and a few power outages may result.

* ADDITIONAL DETAILS...Strongest wind gusts will be localized over
the northern slopes of the Tug Hill Plateau and western
Adirondacks."
Wind Advisory,Moderate,Wind Advisory issued March 19 at 2:47AM EDT until March 20 at 2:00PM EDT by NWS Burlington VT,"* WHAT...South winds 20 to 30 mph with gusts up to 50 mph expected.

* WHERE...In New York, Franklin, Southeastern St. Lawrence, and
Western Clinton Counties. In Vermont, Grand Isle and Western
Franklin Counties.

* WHEN...From 10 PM this evening to 2 PM EDT Thursday.

* IMPACTS...Gusty winds will blow around unsecured objects. Tree
limbs could be blown down and a few power outages may result.

* ADDITIONAL DETAILS...Strongest wind gusts will be localized over
the northern slopes of the Adirondacks and over the northern
Champlain Valley."
Fire Weather Watch,Severe,Fire Weather Watch issued March 18 at 10:56PM EDT until March 19 at 8:00PM EDT by NWS Binghamton NY,"* AFFECTED AREA...Fire weather zone 210.

* WIND... South-Southeast at 10 to 20 mph with gusts up to 30
mph

* HUMIDITY... 20 to 30 percent

* THUNDERSTORMS...None expected.

* IMPACTS...any fires that develop will likely spread rapidly.
Outdoor burning is not recommended.

* ADDITIONAL DETAILS...The eastern portion of the Leatherstocking
Region will be a bit less conducive for fire spread compared to
the western areas."
Flood Warning,Severe,Flood Warning issued March 18 at 9:50PM EDT until March 20 at 2:00AM EDT by NWS Buffalo NY,"...The Flood Warning continues for the following rivers in New
York...

Black River at Watertown affecting Jefferson and Lewis counties.

For the Black River...including Watertown...Minor flooding is
forecast.

* WHAT...Minor flooding is occurring and minor flooding is forecast.

* WHERE...Black River from the flats area in Lewis County downstream
to Watertown.

* WHEN...Until early Thursday morning.

* IMPACTS...At 10.0 feet, Flood stage, farmland flooding begins in
the Flats with some roads flooded. Minor damages to riverfront
commercial properties in Dexter.

* ADDITIONAL DETAILS...
- At 8:30 PM EDT Tuesday the stage was 10.26 feet.
- Bankfull stage is 8.0 feet.
- Recent Activity...The maximum river stage in the 24 hours
ending at 8:30 PM EDT Tuesday was 10.3 feet.
- Forecast...The river is expected to rise to a crest of 10.3
feet just after midnight tonight. It will then fall below
flood stage tomorrow evening.
- Flood stage is 10.0 feet.
- Flood History...This crest compares to a previous crest of
10.1 feet on 03/29/2021.
- http://www.weather.gov/safety/flood"
